Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,Justise Winslow (12001409),Justise Winslow,12001409,PG/SF/F/G/UTIL,6200,MIA@CLE 01/25/2019 07:30PM ET,MIA,27.36
SG/SF,Will Barton (12001418),Will Barton,12001418,SG/SF/F/G/UTIL,6100,PHO@DEN 01/25/2019 09:00PM ET,DEN,24.39
SF/PF,Otto Porter Jr. (12001427),Otto Porter Jr.,12001427,SF/PF/F/UTIL,6100,WAS@ORL 01/25/2019 07:00PM ET,WAS,27.59
PG/SG,Derrick Rose (12001435),Derrick Rose,12001435,PG/SG/G/UTIL,6000,MIN@UTA 01/25/2019 09:00PM ET,MIN,30.89
PF/C,Noah Vonleh (12001431),Noah Vonleh,12001431,PF/C/F/UTIL,5900,NY@BKN 01/25/2019 07:30PM ET,NY,25.98
SG/SF,Tim Hardaway Jr. (12001453),Tim Hardaway Jr.,12001453,SG/SF/F/G/UTIL,5900,NY@BKN 01/25/2019 07:30PM ET,NY,30.21
SF/PF,Robert Covington (12001423),Robert Covington,12001423,SF/PF/F/UTIL,5900,MIN@UTA 01/25/2019 09:00PM ET,MIN,29.69
PF/C,Larry Nance Jr. (12001439),Larry Nance Jr.,12001439,PF/C/F/UTIL,5800,MIA@CLE 01/25/2019 07:30PM ET,CLE,27.03
PG/SG,Malcolm Brogdon (12001447),Malcolm Brogdon,12001447,PG/SG/G/UTIL,5800,CHA@MIL 01/25/2019 08:30PM ET,MIL,28.28
C,Jarrett Allen (12001451),Jarrett Allen,12001451,C/UTIL,5800,NY@BKN 01/25/2019 07:30PM ET,BKN,28.94
C,Willie Cauley-Stein (12001461),Willie Cauley-Stein,12001461,C/UTIL,5800,SAC@MEM 01/25/2019 08:00PM ET,SAC,31.74
PG,Jeff Teague (12001463),Jeff Teague,12001463,PG/G/UTIL,5800,MIN@UTA 01/25/2019 09:00PM ET,MIN,29.32
PF/C,Bobby Portis (12001480),Bobby Portis,12001480,PF/C/F/UTIL,5700,LAC@CHI 01/25/2019 08:00PM ET,CHI,25.76
C,Tristan Thompson (12001471),Tristan Thompson,12001471,C/UTIL,5700,MIA@CLE 01/25/2019 07:30PM ET,CLE,31.14
C,Ante Zizic (12001473),Ante Zizic,12001473,C/UTIL,5700,MIA@CLE 01/25/2019 07:30PM ET,CLE,13.53
PG,Ricky Rubio (12001458),Ricky Rubio,12001458,PG/G/UTIL,5700,MIN@UTA 01/25/2019 09:00PM ET,UTA,28.7
SG/SF,Joe Ingles (12001466),Joe Ingles,12001466,SG/SF/F/G/UTIL,5700,MIN@UTA 01/25/2019 09:00PM ET,UTA,26.98
SG/SF,Andrew Wiggins (12001484),Andrew Wiggins,12001484,SG/SF/F/G/UTIL,5700,MIN@UTA 01/25/2019 09:00PM ET,MIN,29.68
SG/SF,Kelly Oubre Jr. (12001494),Kelly Oubre Jr.,12001494,SG/SF/F/G/UTIL,5600,PHO@DEN 01/25/2019 09:00PM ET,PHO,24.26
SF/PF,T.J. Warren (12001504),T.J. Warren,12001504,SF/PF/F/UTIL,5600,PHO@DEN 01/25/2019 09:00PM ET,PHO,29.26
SG/SF,Evan Fournier (12001489),Evan Fournier,12001489,SG/SF/F/G/UTIL,5600,WAS@ORL 01/25/2019 07:00PM ET,ORL,26.28
SG/SF,Bogdan Bogdanovic (12001475),Bogdan Bogdanovic,12001475,SG/SF/F/G/UTIL,5600,SAC@MEM 01/25/2019 08:00PM ET,SAC,28.94
PG,Goran Dragic (12001499),Goran Dragic,12001499,PG/G/UTIL,5500,MIA@CLE 01/25/2019 07:30PM ET,MIA,28.05
C,Brook Lopez (12001517),Brook Lopez,12001517,C/UTIL,5500,CHA@MIL 01/25/2019 08:30PM ET,MIL,24.51
SF/PF,Josh Jackson (12001531),Josh Jackson,12001531,SF/PF/F/UTIL,5500,PHO@DEN 01/25/2019 09:00PM ET,PHO,20.82
